O,environment_size,cycles,branches,cache_references,input
2,0,14860887130,5056553393,306701871,diffmail
3,0,14664616772,5042985673,302897240,diffmail
2,0,12737002638,2542417677,578363894,perfect
3,0,12539453165,2523272461,575763156,perfect
2,0,30007573525,12103451917,256904134,splitmail
3,0,30288639625,12485087496,252353433,splitmail
2,250,14880441450,5058418656,308327625,diffmail
3,250,14649767489,5043031013,304915459,diffmail
2,250,12751457649,2541794208,581611004,perfect
3,250,12546342949,2522082652,577291132,perfect
2,250,30027625087,12130837798,256785287,diffmail
3,250,29656413197,12448895648,241936009,diffmail
2,500,14990728828,5057595746,304694865,diffmail
2,500,12777146453,2542087896,577590541,perfect
2,500,30069608577,12147697908,258447091,diffmail
3,500,14674256954,5038688168,303786568,diffmail
3,500,12559251800,2522153295,569716675,perfect
3,500,29745202776,12451536876,240457462,diffmail
2,750,14857973235,5053456414,306166051,diffmail
2,750,12693900998,2542410215,579672050,perfect
2,750,29903102992,12138021098,255389532,diffmail
3,750,14654088305,5037770888,302555589,diffmail
3,750,12461339518,2522363375,570637172,perfect
3,750,29646351974,12409256224,239580634,diffmail
2,1000,14864476395,5054012675,307150715,diffmail
2,1000,12635930777,2544007525,577786849,perfect
2,1000,29786915486,12109749925,254294448,diffmail
3,1000,14360381142,5040950522,302889711,diffmail
3,1000,12469196996,2523302082,569997201,perfect
3,1000,29737837420,12441929410,242533433,diffmail
2,0,13000318155,4651535347,67709015,scrabbl
3,0,12496630865,4640717469,52560823,scrabbl
2,250,13234063154,4649617480,72049959,scrabbl
3,250,12955189333,4639152046,54258995,scrabbl
2,500,12965939289,4650494549,67808135,scrabbl
3,500,12853563043,4637616686,43041236,scrabbl
2,750,12721873596,4651203700,70587801,scrabbl
3,750,12377214152,4639562999,42201041,scrabbl
2,1000,12581674717,4651236405,70694612,scrabbl
3,1000,12149930778,4638866538,42497062,scrabbl
